gene	n.umis	n.tot	efficiency	depth	loss	n.obs	n.reads	n.umis.prefilter	n.reads.prefilter
UMAG_03615:3p	1391	6914	0	0.252	0.799	1391	1744	1391	1744
UMAG_03615:5p	806	5488	0	0.167	0.853	806	927	806	927
UMAG_03650:3p	2378	13455	0	0.214	0.823	2378	2881	2378	2881
UMAG_03650:5p	2016	12836	0	0.184	0.843	2016	2377	2016	2377
UMAG_03689:3p	2676	12602	0	0.271	0.788	2676	3405	2676	3405
UMAG_03689:5p	1530	8908	0	0.206	0.828	1530	1838	1530	1838
UMAG_03744:3p	3950	19921	0	0.247	0.802	3950	4928	3950	4928
UMAG_03744:5p	3397	22301	0	0.178	0.848	3397	3991	3397	3991
UMAG_03745:5p	1	5.14	0	0.242	0.805	1	1	1	1
UMAG_03747:3p	1527	7872	0	0.241	0.806	1527	1894	1527	1894
UMAG_03747:5p	1344	8628	0	0.182	0.844	1344	1577	1344	1577
UMAG_03748:3p	2604	13601	0	0.237	0.809	2604	3219	2604	3219
UMAG_03748:5p	1321	8330	0	0.186	0.841	1321	1556	1321	1556
UMAG_03750:3p	2059	7812	0	0.364	0.736	2059	2831	2059	2831
UMAG_03751:3p	2675	12328	0	0.278	0.783	2675	3426	2675	3426
UMAG_03751:5p	1002	7769	0	0.143	0.871	1002	1127	1002	1127
UMAG_03753:3p	1494	8810	0	0.202	0.83	1494	1789	1494	1789
UMAG_03753:5p	1157	8928	0	0.144	0.87	1157	1306	1157	1306
UMAG_03880:3p	1298	7208	0	0.218	0.82	1298	1577	1298	1577
UMAG_03880:5p	781	5932	0	0.146	0.868	781	877	781	877
UMAG_04038:3p	10168	54036	0	0.232	0.812	10168	12521	10168	12521
UMAG_04038:5p	7531	52067	0	0.168	0.855	7531	8785	7531	8785
UMAG_04039:3p	7588	45376	0	0.2	0.833	7588	9100	7588	9100
UMAG_04039:5p	5922	35193	0	0.202	0.832	5922	7109	5922	7109
UMAG_04057:3p	2456	9516	0	0.352	0.742	2456	3342	2456	3342
UMAG_04057:5p	1669	9349	0	0.216	0.821	1669	2025	1669	2025
UMAG_04084:3p	3574	28473	0	0.142	0.874	3574	4062	3574	4062
UMAG_04084:5p	6712	41077	0	0.195	0.837	6712	8010	6712	8010
UMAG_04096:3p	2	10.3	0	0.242	0.805	2	2	2	2
UMAG_04096:5p	2	10.3	0	0.242	0.805	2	2	2	2
UMAG_04104:3p	20283	93085	0	0.279	0.782	20283	25942	20283	25942
UMAG_04104:5p	12856	64106	0	0.251	0.799	12856	16082	12856	16082
UMAG_04111:3p	8815	62267	0	0.164	0.858	8815	10248	8815	10248
UMAG_04111:5p	14255	78048	0	0.223	0.817	14255	17434	14255	17434
UMAG_04114:3p	4634	22675	0	0.257	0.796	4634	5828	4634	5828
UMAG_04114:5p	3818	21829	0	0.211	0.825	3818	4619	3818	4619
UMAG_04145:3p	2530	11716	0	0.277	0.784	2530	3236	2530	3236
UMAG_04145:5p	2789	13934	0	0.25	0.8	2789	3489	2789	3489
UMAG_04185:3p	3021	12910	0	0.308	0.766	3021	3962	3021	3962
UMAG_04185:5p	944	5434	0	0.208	0.826	944	1134	944	1134
UMAG_04189:3p	7119	35056	0	0.255	0.797	7119	8936	7119	8936
UMAG_04189:5p	8771	45997	0	0.236	0.809	8771	10835	8771	10835
UMAG_04282:3p	2814	15547	0	0.22	0.819	2814	3430	2814	3430
UMAG_04282:5p	2178	12043	0	0.22	0.819	2178	2653	2178	2653
UMAG_04400:3p	1599	8759	0	0.222	0.817	1599	1951	1599	1951
UMAG_04400:5p	1499	7913	0	0.233	0.811	1499	1847	1499	1847
UMAG_04696:3p	18105	87878	0	0.26	0.794	18105	22806	18105	22806
UMAG_04696:5p	23509	102070	0	0.299	0.77	23509	30558	23509	30558
UMAG_04815:3p	6231	35189	0	0.215	0.823	6231	7564	6231	7564
UMAG_04815:5p	5130	36195	0	0.164	0.858	5130	5957	5130	5957
UMAG_04893:3p	1339	7062	0	0.233	0.81	1339	1650	1339	1650
UMAG_04893:5p	929	6613	0	0.159	0.86	929	1061	929	1061
UMAG_05222:3p	742	4350	0	0.203	0.829	742	885	742	885
UMAG_05222:5p	1326	7895	0	0.2	0.832	1326	1583	1326	1583
UMAG_05227:3p	1577	9735	0	0.191	0.838	1577	1869	1577	1869
UMAG_05227:5p	2229	11791	0	0.233	0.811	2229	2746	2229	2746
UMAG_05294:3p	715	3926	0	0.221	0.818	715	869	715	869
