"knockout"	"is.neutral"	"n.out"	"loss.out"	"abundance.out"	"n.in"	"loss.in"	"abundance.in"	"log2fc"	"low.pval"	"high.pval"	"low.qval"	"high.qval"
"UMAG_01987"	FALSE	2267	0.816	6160.32608695652	2424	0.8995	12059.7014925373	-0.113148441112931	0.30370212062703	0.697385273253147	0.40139650908048	1
"UMAG_01997"	FALSE	4203	0.824	11940.3409090909	4992	0.941	42305.0847457628	-0.969019915488414	5.74923609231098e-06	0.999994287941155	3.50517942402185e-05	1
"UMAG_02006"	FALSE	2282	0.8015	5748.11083123426	1425	0.9345	10877.8625954198	-0.0642681917589748	0.393398503758922	0.607794609231159	0.502380521692137	1
"UMAG_02011"	FALSE	607	0.839	1885.09316770186	2309	0.923	14993.5064935065	-2.13566295744083	9.03290517316975e-18	1	1.70721907772908e-16	1
"UMAG_02072"	FALSE	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
"UMAG_02119"	FALSE	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
"UMAG_02135"	FALSE	1668	0.847	5450.98039215686	1415	0.944	12633.9285714286	-0.35674855341231	0.0489109642233566	0.951489183914561	0.101584310310048	1
"UMAG_02137"	FALSE	2	0.805	5.12820512820513	5	0.924	32.8947368421053	-1.82536376369607	0.117228236047667	0.947833592808483	0.203267308376231	1
"UMAG_02138"	FALSE	40	0.805	102.564102564103	36	0.924	236.842105263158	-0.351432575363658	0.216294247866259	0.808504624626759	0.307365510125736	1
"UMAG_02139"	FALSE	17	0.805	43.5897435897436	7	0.924	46.0526315789474	0.776672250384027	0.918682992647304	0.105559153142915	0.963784037742559	1
"UMAG_02141"	FALSE	36	0.807	93.2642487046632	539	0.94	4491.66666666666	-4.73381577147244	2.67369262962299e-42	1	2.52663953499373e-40	1
"UMAG_02192"	FALSE	2181	0.8305	6433.62831858407	1324	0.9315	9664.23357664233	0.268944399155033	0.9229889461979	0.07751784277443	0.963784037742559	1
"UMAG_02193"	TRUE	2564	0.8195	7102.49307479224	2018	0.9185	12380.3680981595	0.0543103463536054	0.625898481729559	0.375184472276955	0.73475039159557	1
"UMAG_02229"	FALSE	24092	0.817	65825.1366120218	28272	0.923	183584.415584416	-0.623765947060449	0.00165555684817107	0.998345868587515	0.00636444640406216	1
"UMAG_02231"	FALSE	1	0.805	2.56410256410256	0	NA	NA	NA	NA	NA	NA	NA
"UMAG_02239"	FALSE	5913	0.8245	16846.1538461538	6499	0.927	44513.698630137	-0.545863000807485	0.00507634097562212	0.99493975262679	0.0157283351539767	1
"UMAG_02243"	FALSE	4628	0.789	10966.8246445498	3245	0.8995	16144.2786069652	0.298090020190051	0.94605468584485	0.0541309138706659	0.98244140453119	1
"UMAG_02294"	FALSE	1871	0.846	6074.67532467532	1467	0.939	12024.5901639344	-0.129141384067305	0.279143026861506	0.722106983098285	0.376843086263033	1
"UMAG_02295"	FALSE	2783	0.81	7323.68421052632	2771	0.931	20079.7101449276	-0.599129822205271	0.00270183105392931	0.997317143959134	0.00995042893244026	1
"UMAG_02297"	FALSE	1004	0.8265	2893.37175792507	1187	0.926	8020.27027027028	-0.614932021143129	0.0027376841507243	0.997313671715285	0.00995042893244026	1
"UMAG_02298"	FALSE	1644	0.832	4892.85714285714	2200	0.916	13095.2380952381	-0.564326093233023	0.00457626084978877	0.995475154405125	0.0149122982863806	1
"UMAG_02299"	FALSE	1869	0.8295	5480.93841642228	2471	0.9005	12417.0854271357	-0.323864618566834	0.0643934463559069	0.936057809118971	0.126774597513192	1
"UMAG_02430"	FALSE	13579	0.8095	35640.4199475066	11524	0.924	75815.7894736843	-0.233016869240127	0.132438702944673	0.867671645149543	0.220157410598313	1
"UMAG_02466"	FALSE	2507	0.856	8704.86111111111	2015	0.9305	14496.4028776979	0.12016536019712	0.744601390415924	0.256352638911374	0.820216847990668	1
"UMAG_02473"	FALSE	12	0.805	30.7692307692308	20	0.922	128.205128205128	-1.20292655755625	0.0249705328884001	0.983580917473402	0.0582645767396002	1
"UMAG_02474"	FALSE	948	0.8055	2437.01799485861	1223	0.932	8992.64705882352	-1.02766181186766	3.61102307859527e-06	0.999996488884237	2.35339090294657e-05	1
"UMAG_02475"	FALSE	365	0.8325	1089.55223880597	2368	0.917	14265.0602409639	-2.85471143436246	9.61113043272717e-27	1	3.02750608630906e-25	1
