gene	n.umis	n.tot	efficiency	depth	loss	n.obs	n.reads	n.umis.prefilter	n.reads.prefilter
UMAG_05310:3p	613	11212	0	0.0605	0.945	613	638	613	638
UMAG_05310:5p	427	6294	0.0469	0.0738	0.932	427	452	427	452
UMAG_05319:3p	1562	19682	0.565	0.084	0.921	1562	1646	1562	1646
UMAG_05319:5p	1245	17296	0.962	0.076	0.928	1245	1291	1245	1291
UMAG_05439:3p	12786	212772	0.0334	0.0639	0.94	12786	13548	12786	13548
UMAG_05439:5p	23719	211124	0	0.126	0.888	23719	26739	23719	26739
UMAG_05548:3p	2019	21512	0.309	0.101	0.906	2019	2181	2019	2181
UMAG_05548:5p	998	10584	0.715	0.0993	0.906	998	1061	998	1061
UMAG_05562:3p	8755	98618	0.094	0.0964	0.911	8755	9527	8755	9527
UMAG_05562:5p	8224	106541	0.0713	0.0831	0.923	8224	8853	8224	8853
UMAG_05641:3p	12751	182971	0.39	0.0735	0.93	12751	13420	12751	13420
UMAG_05641:5p	17221	236361	0	0.0786	0.927	17221	18571	17221	18571
UMAG_05733:3p	920	14661	0.138	0.0679	0.937	920	967	920	967
UMAG_05733:5p	596	10167	0.923	0.0639	0.941	596	610	596	610
UMAG_05780:3p	1731	24798	0.448	0.0742	0.93	1731	1816	1731	1816
UMAG_05780:5p	2136	19139	0.977	0.118	0.888	2136	2274	2136	2274
UMAG_05781:3p	6085	89943	0.143	0.0721	0.932	6085	6460	6085	6460
UMAG_05781:5p	7031	106920	0	0.0706	0.934	7031	7520	7031	7520
UMAG_05819:3p	1404	12473	0.966	0.118	0.887	1404	1499	1404	1499
UMAG_05819:5p	1065	19925	0	0.0585	0.947	1065	1114	1065	1114
UMAG_05861:3p	1	13.2	0	0.0821	0.924	1	1	1	1
UMAG_05861:5p	2	26.4	0	0.0821	0.924	2	2	2	2
UMAG_05926:3p	1029	12032	0.954	0.0898	0.914	1029	1078	1029	1078
UMAG_05926:5p	907	13693	0.948	0.0706	0.934	907	936	907	936
UMAG_05927:3p	8752	93489	0.157	0.102	0.906	8752	9528	8752	9528
UMAG_05927:5p	6328	99785	0.153	0.0674	0.937	6328	6687	6328	6687
UMAG_05931:3p	5670	80539	0	0.0758	0.93	5670	6096	5670	6096
UMAG_05931:5p	5737	58716	0.981	0.103	0.902	5737	6043	5737	6043
UMAG_05953:3p	1049	12173	0.631	0.0911	0.914	1049	1110	1049	1110
UMAG_05953:5p	98	1346	0.663	0.0789	0.927	98	101	98	101
UMAG_05988:3p	1265	12150	0.962	0.109	0.896	1265	1343	1265	1343
UMAG_05988:5p	1029	10136	0.692	0.107	0.898	1029	1102	1029	1102
UMAG_06064:3p	2905	44606	0.983	0.0682	0.935	2905	3001	2905	3001
UMAG_06064:5p	4640	58101	0.472	0.0846	0.92	4640	4908	4640	4908
UMAG_06113:3p	3911	58865	0.0332	0.0712	0.934	3911	4169	3911	4169
UMAG_06113:5p	2857	38157	0.716	0.0788	0.925	2857	2987	2857	2987
UMAG_06146:3p	865	15394	0.0336	0.0614	0.944	865	904	865	904
UMAG_06146:5p	1192	18630	0.0329	0.0691	0.936	1192	1263	1192	1263
UMAG_06158:3p	1499	17811	0	0.0914	0.916	1499	1641	1499	1641
UMAG_06158:5p	1170	17375	0	0.0729	0.933	1170	1250	1170	1250
UMAG_06178:3p	5831	65914	0	0.0968	0.912	5831	6403	5831	6403
UMAG_06178:5p	4551	46055	0.755	0.105	0.901	4551	4832	4551	4832
UMAG_06179:3p	3347	31639	0.985	0.111	0.894	3347	3545	3347	3545
UMAG_06179:5p	2492	34928	0.98	0.0748	0.929	2492	2584	2492	2584
UMAG_06222:3p	1197	13962	0.95	0.09	0.914	1197	1254	1197	1254
UMAG_06222:5p	1525	30380	0.0806	0.0545	0.95	1525	1586	1525	1586
UMAG_06223:3p	7373	74248	0.31	0.107	0.901	7373	7986	7373	7986
UMAG_06223:5p	7979	112943	0.311	0.0748	0.929	7979	8427	7979	8427
UMAG_06428:3p	9023	130123	0	0.0746	0.931	9023	9691	9023	9691
UMAG_06428:5p	9574	117623	0.0733	0.0879	0.919	9574	10351	9574	10351
UMAG_06440:3p	15354	203104	0.0906	0.0812	0.924	15354	16483	15354	16483
UMAG_06440:5p	16511	216444	0	0.0826	0.924	16511	17873	16511	17873
UMAG_10024:3p	11443	139327	0.0777	0.0888	0.918	11443	12378	11443	12378
UMAG_10024:5p	12351	122222	0.332	0.109	0.899	12351	13376	12351	13376
UMAG_10030:3p	763	7746	0.939	0.103	0.901	763	809	763	809
UMAG_10030:5p	773	11531	0.674	0.0717	0.933	773	802	773	802
UMAG_10067:3p	1395	13462	0.733	0.109	0.896	1395	1492	1395	1492
UMAG_10067:5p	1252	17501	0.446	0.0762	0.928	1252	1315	1252	1315
UMAG_10076:3p	1058	11065	0.955	0.1	0.904	1058	1117	1058	1117
UMAG_10076:5p	996	10946	0.952	0.0954	0.909	996	1048	996	1048
UMAG_10403:3p	1328	18065	0	0.0795	0.926	1328	1432	1328	1432
UMAG_10403:5p	1062	16332	0.435	0.0696	0.935	1062	1108	1062	1108
UMAG_10553:3p	1047	8086	0.739	0.137	0.871	1047	1148	1047	1148
UMAG_10553:5p	789	12742	0	0.0675	0.938	789	834	789	834
UMAG_10555:3p	7342	103626	0.081	0.0759	0.929	7342	7847	7342	7847
UMAG_10555:5p	9255	140615	0	0.0706	0.934	9255	9901	9255	9901
UMAG_10557:3p	673	11468	0.0791	0.0642	0.941	673	703	673	703
UMAG_10557:5p	749	13829	0.0702	0.0596	0.946	749	778	749	778
UMAG_10640:3p	6700	69178	0.143	0.105	0.903	6700	7327	6700	7327
UMAG_10640:5p	5420	76360	0.0531	0.0762	0.929	5420	5802	5420	5802
UMAG_10742:3p	383	6675	0.885	0.0635	0.943	383	390	383	390
UMAG_10742:5p	643	6938	0.928	0.0971	0.907	643	679	643	679
UMAG_10756:3p	937	16103	0	0.0635	0.942	937	986	937	986
UMAG_10756:5p	893	10209	0.401	0.093	0.913	893	956	893	956
UMAG_10811:3p	1589	19985	0	0.0862	0.92	1589	1728	1589	1728
UMAG_10811:5p	876	11327	0.946	0.0816	0.923	876	912	876	912
UMAG_10816:3p	1765	19428	0.973	0.0952	0.909	1765	1854	1765	1854
UMAG_10816:5p	1703	23371	0.49	0.0773	0.927	1703	1789	1703	1789
UMAG_10881:3p	781	10291	0.08	0.0818	0.924	781	839	781	839
UMAG_10881:5p	942	9613	0.95	0.103	0.902	942	997	942	997
UMAG_10972:3p	1130	13577	0.352	0.0887	0.917	1130	1206	1130	1206
UMAG_10972:5p	1112	13169	0.36	0.0899	0.916	1112	1188	1112	1188
UMAG_10975:3p	2160	29506	0	0.0791	0.927	2160	2329	2160	2329
UMAG_10975:5p	2089	28725	0.0701	0.0782	0.927	2089	2237	2089	2237
UMAG_11002:3p	668	6679	0.931	0.105	0.9	668	710	668	710
UMAG_11002:5p	527	7592	0.0285	0.0753	0.931	527	561	527	561
UMAG_11062:3p	11975	155145	0	0.0836	0.923	11975	12976	11975	12976
UMAG_11062:5p	10689	140292	0.146	0.0816	0.924	10689	11444	10689	11444
